Time (milliseconds),ax,ay,az,light,mx,my,mz,sound,temp
15454,320,-32,-212,0,-14.7,-7.2,-72,41,29
15482,132,-216,448,0,-54.75,72.6,-75.15,86,29
15638,-852,-28,1296,0,-74.55,83.55,-58.35,82,29
15682,-144,-268,-4,0,-83.1,81.6,-50.1,52,29
15845,224,-976,460,0,-95.4,72.75,-41.25,37,29
16006,300,-416,884,0,-89.7,49.8,-59.1,97,29
16058,468,-216,1716,0,-79.2,-0.9,-59.25,22,29
16216,-440,2040,1380,0,-32.4,-7.05,-65.4,30,29
16286,-388,204,300,0,3.75,-4.8,-48.3,22,29
16444,-516,484,-528,0,21.15,-8.1,-13.65,67,29
16606,-164,1292,-520,35,4.35,-41.25,7.2,67,29
16638,-296,1036,400,0,26.55,-11.1,-39.45,56,29
16790,-500,752,-380,0,52.8,9.3,-8.55,37,29
16862,-88,712,-800,17,55.8,-14.85,24.9,26,29
17020,44,564,-840,17,37.8,-20.7,46.2,22,29
17094,200,376,-1024,21,23.25,-13.95,55.5,18,29
17251,88,492,-1132,35,21.6,-14.1,52.8,18,29
17326,-168,356,-768,74,27.75,-9.45,37.2,18,29
17481,-196,272,-916,80,24.45,-9.15,39.45,30,29
17526,-100,244,-920,78,20.1,-10.2,43.8,15,29
17688,-48,184,-988,75,17.85,-9.15,46.65,41,29
17774,-40,204,-956,78,16.8,-8.1,49.2,48,29
17944,-92,152,-936,80,16.2,-7.05,48.3,15,29
18103,-88,272,-924,74,20.7,-13.05,43.5,18,29
18138,-168,384,-924,64,24.9,-16.95,37.95,30,29
18287,-252,424,-920,67,28.8,-16.05,36.75,71,29
18449,-180,32,-776,76,34.5,-11.55,34.65,37,29
18482,-384,152,-1004,82,37.95,-9,33.75,41,29
18633,-304,176,-844,82,35.85,-9.15,36.6,41,29
18794,-20,236,-968,67,33.15,-6.75,45,26,29
18826,-112,248,-964,67,34.2,-5.85,45.3,26,29
18979,-188,312,-956,70,39,-1.35,42.75,33,29
19140,-132,180,-952,82,39.3,-0.6,42.6,15,29
19174,-144,148,-988,89,40.35,0.75,43.05,26,29
19324,-140,140,-956,90,39.9,0.9,43.35,22,29
19486,-152,112,-980,95,42,3.3,41.55,7,29
19518,-188,80,-980,98,41.4,3.9,41.4,22,29
19670,-156,108,-944,97,42.6,3.9,42,3,29
19720,-176,92,-1000,96,42.9,4.5,41.4,11,29
19877,-192,112,-948,94,42.45,4.5,42.15,22,29
19938,-148,72,-1028,93,41.7,3.6,44.4,26,29
20085,-64,160,-948,102,42.9,8.85,49.5,15,29
20170,-8,44,-948,101,55.05,27.3,53.1,7,29
20338,-208,408,-848,95,62.55,44.4,53.85,26,29
20370,-400,328,-852,99,59.4,36,49.2,18,29
20522,-1048,600,-1304,84,51.75,22.8,47.7,41,29
20606,572,808,-1168,74,29.1,11.55,46.35,33,29
20753,36,1116,-700,63,26.55,10.5,46.65,22,29
20914,744,612,-696,41,19.5,14.4,45.6,30,29
20954,-84,432,-824,48,19.95,15.9,44.85,26,29
21121,236,356,-596,20,11.4,16.05,45.6,82,29
21154,488,464,-728,28,12,19.5,48.9,56,29
21306,592,428,-448,4,7.5,22.5,46.65,33,29
21372,260,460,-812,1,9.6,29.7,52.8,56,29
21537,-16,340,-644,0,7.65,27.75,53.4,48,29
21602,368,732,-776,16,12,26.55,46.8,48,29
21766,492,888,-588,0,10.8,25.5,46.8,71,29
21997,208,700,-684,33,14.85,21.9,43.65,63,29
22042,440,532,-700,60,17.25,23.1,40.95,60,29
22204,-36,512,-1124,78,21.6,24.3,35.25,30,29
22366,224,320,-428,76,24,22.8,36.3,33,29
22398,-36,656,-1084,78,28.8,23.7,38.25,18,29
22550,-4,516,-1196,88,31.35,21,37.8,18,29
22711,512,212,-1284,100,30.9,16.35,39.6,30,29
22762,476,100,-852,96,18.6,-3,35.4,41,29
22918,484,352,-664,75,7.5,-13.95,40.65,26,29
22962,564,296,-252,32,-0.6,-21,45.9,30,29
23126,-368,820,-456,53,12.75,-19.05,54.6,18,29
23190,-128,912,-932,73,21.75,-7.2,75.75,22,29
23356,-688,1384,-1028,4,34.8,-11.25,75.9,22,29
23438,212,232,-916,0,83.4,44.85,52.65,86,29
23587,-812,780,-1436,18,48,10.2,42.9,41,29
23748,-520,896,-840,49,28.05,11.55,52.5,86,29
23782,-632,968,308,61,57,0.15,4.65,60,29
23932,-80,-84,-220,50,42,-24.75,11.55,37,29
24094,-472,548,-324,1,53.85,11.1,11.1,67,29
24126,-1996,-820,2040,18,24.15,64.8,35.55,90,29
24278,452,872,-448,40,18.6,56.7,51.3,37,29
24330,-24,-36,-516,13,16.35,60.6,48,33,29
24485,8,100,-1108,11,11.1,53.55,59.55,41,29
24646,-124,8,-1032,17,5.4,45.15,68.85,41,29
24698,-152,44,-868,18,8.7,46.5,61.5,33,29
24854,-200,36,-956,13,12.3,45.15,61.65,33,29
24930,-204,4,-964,11,11.25,43.65,63.15,15,29
25087,-276,148,-964,18,12.9,43.05,61.8,48,29
25162,-216,44,-972,21,10.05,44.1,59.7,56,29
25315,-272,28,-964,23,9.15,44.7,59.55,60,29
25476,-224,48,-964,21,8.7,44.1,58.95,60,29
25510,-152,8,-936,24,8.1,44.4,58.05,45,29
25660,-176,32,-1016,6,7.05,42,58.2,78,29
25822,-188,112,-976,0,5.7,37.2,57,52,29
25858,-168,124,-952,0,6.6,36.9,56.4,33,29
26052,-208,224,-1004,0,5.25,34.5,55.2,22,29
26090,-256,112,-972,0,6.15,39.6,52.5,33,29
26236,-288,72,-964,0,6.3,40.05,52.65,52,29
26290,-284,100,-952,0,6,41.4,52.2,48,29
26444,-360,44,-928,0,6.6,46.2,49.5,18,29
26518,-372,44,-956,0,7.05,49.05,49.35,18,29
26674,-388,20,-928,0,7.95,50.25,48.15,22,29
26766,-516,68,-1064,0,8.25,48.3,47.25,37,29
26927,-680,60,-1516,0,13.8,49.05,41.25,26,29
27090,-836,12,-228,174,18,55.8,12.9,22,29
27126,-580,-76,-208,160,17.4,59.85,3.9,18,29
27273,-260,-316,-912,0,15.75,69.9,-4.2,101,29
27434,-580,-468,-872,0,13.8,73.5,0.3,116,29
27486,-496,-292,-740,14,21.75,67.35,3.75,67,29
27642,-80,-124,-716,2,19.65,65.1,0.75,45,29
27803,-740,-412,-988,166,46.2,58.8,2.7,33,29
27842,-404,-240,-944,58,54.45,49.65,-1.2,33,29
28010,392,36,-296,44,94.95,36.6,2.1,37,29
28102,120,-96,-1132,186,167.1,-37.65,2.25,52,29
28264,8,-120,-948,52,170.7,-36,0.6,33,29
28425,-600,104,-1524,51,194.85,-39.75,-55.5,45,29
28458,-620,72,-760,219,206.7,27,-30.15,26,29
28609,-572,196,-920,158,203.7,19.2,-29.55,33,29
28796,-404,208,-644,91,175.05,11.85,14.25,93,29
28826,-872,48,-848,169,145.5,8.25,52.5,108,29
28978,-936,-148,-704,199,147.9,1.8,53.1,112,29
29070,-828,180,-944,130,175.5,20.1,6,37,29
29231,-840,412,-392,0,160.8,5.7,32.7,41,29
29393,-464,380,-376,43,209.25,-16.05,-18.3,18,29
29426,-1116,416,-728,22,216.3,-15.6,-10.2,22,29
29577,-764,176,-464,16,216.3,-20.55,-19.95,60,29
29626,-724,396,-816,1,178.35,-50.85,-66.9,52,29
29784,-496,56,-648,34,160.05,-52.2,-63.9,37,29
29846,-948,84,-1348,38,124.05,-55.5,-52.35,67,29
30015,-1120,416,-480,71,121.8,-64.8,-64.5,60,29
30176,-988,516,-404,94,119.85,-69.45,-68.25,18,29
30210,-716,420,-492,79,121.05,-66.9,-68.85,26,29
30360,-740,352,-412,110,119.85,-63.45,-63.15,22,29
30412,-972,392,-660,95,121.35,-64.05,-58.8,26,29
30568,-584,136,-716,127,124.95,-53.7,-69.15,45,29
30752,-468,16,-936,143,164.85,-56.25,-142.65,67,29
30802,-620,96,-704,175,148.5,-76.8,-167.4,45,29
30959,-300,420,-1276,159,187.95,-60.15,-135.9,45,29
31121,-992,232,-460,0,177.6,-85.35,-185.25,127,29
31154,-800,112,-736,103,129.3,-85.35,-121.05,71,29
31305,-716,240,-404,138,110.4,-89.25,-31.05,93,29
31354,-296,-492,-1028,129,109.95,-48.6,65.55,41,29
31513,-432,-216,-740,78,102.6,-16.95,96.3,26,29
31674,-792,180,-984,102,105,-8.85,108.75,71,29
31706,-1284,-56,-916,88,100.65,-27.6,106.65,82,29
31858,-552,12,-472,25,95.85,10.8,72.45,30,29
31950,-672,-380,-504,174,92.85,14.25,63,33,29
32112,-792,-440,-612,0,88.8,33.6,46.05,41,29
32273,-688,-176,-804,0,87.15,35.1,53.7,82,29
32308,-268,-188,-1876,0,78.6,0.15,76.65,78,29
32457,-40,-216,-1400,0,83.7,-21.45,115.5,37,29
32514,-424,-388,-896,9,84.3,17.4,105.45,33,29
32664,-396,-84,-872,38,92.1,-4.8,103.65,45,29
32826,-404,100,-960,5,95.7,-24.3,99,116,29
32858,-792,-324,-304,143,70.95,16.95,64.05,101,29
33010,-164,-384,-580,84,61.5,12.45,47.25,37,29
33171,300,-556,-568,163,33.9,38.85,55.5,101,29
