Time (seconds),X_accel,Y_accel,Z_accel,X_mag,Y_mag,Z_mag,light,sound,temp
0.84,-16,400,-960,43.95,96,5.85,123,18,24
0.96,-32,384,-944,43.65,95.4,4.95,126,86,24
0.99,-48,384,-944,44.85,95.85,5.55,122,97,24
1.01,-16,368,-928,43.95,95.7,4.5,121,90,24
1.04,-48,368,-960,44.25,95.85,5.1,122,86,24
1.08,-16,400,-944,44.25,95.7,5.4,122,82,24
1.10,-32,384,-944,44.85,95.85,5.4,121,93,24
1.13,-32,384,-960,44.1,95.25,4.65,122,93,24
1.16,-32,384,-960,44.1,95.55,4.95,121,86,24
1.18,-32,368,-960,43.5,95.4,4.65,121,86,24
1.20,-32,368,-928,43.05,95.55,6.15,121,56,24
1.25,-16,384,-944,43.35,95.85,4.5,121,63,24
1.27,-16,368,-960,44.85,95.1,4.65,122,41,24
1.30,-32,352,-960,44.85,94.8,5.1,120,30,24
1.32,-32,368,-944,43.5,95.55,5.1,122,45,24
1.34,-48,384,-944,43.5,94.35,5.25,121,82,24
1.39,-32,384,-960,44.25,94.8,4.65,121,71,24
1.42,-16,384,-960,44.4,95.25,4.5,121,45,24
1.44,-32,384,-960,43.8,95.7,4.05,121,37,24
1.46,-16,400,-960,44.1,96,3.15,121,30,24
1.49,-16,400,-960,44.25,96.3,4.8,121,45,24
1.51,-32,384,-928,44.25,94.65,5.25,121,45,24
1.56,-32,368,-960,43.65,96.15,4.8,121,86,24
1.59,-32,336,-944,44.4,95.25,4.5,122,82,24
1.62,-32,368,-960,44.25,95.4,5.25,120,75,24
1.64,-16,384,-960,43.95,95.4,4.05,121,56,24
1.66,-16,384,-944,43.65,95.4,4.05,120,67,24
1.69,-32,384,-960,43.65,95.85,4.8,121,52,24
1.73,-48,368,-944,43.95,95.1,4.8,121,78,24
1.76,-32,384,-944,44.55,95.85,3.75,121,86,24
1.78,-48,368,-944,43.5,95.7,4.5,121,82,24
1.80,-16,368,-944,44.25,95.25,4.2,121,75,24
1.83,-32,384,-960,44.1,95.55,4.65,121,67,24
1.85,-16,400,-928,44.55,94.95,4.8,121,52,24
1.90,-32,384,-960,44.55,96.15,4.05,121,48,24
1.92,-48,352,-944,44.55,95.55,3.75,122,48,24
1.95,-32,384,-944,44.1,95.4,4.95,121,60,24
1.97,-32,384,-960,44.25,95.85,5.1,121,86,24
2.00,-32,368,-928,44.1,94.65,4.65,122,90,24
